l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  0,,
Individual, Fitness Value, Normalized Fitness, Running Total
5,0.530499,0.0309739,0.202414
6,0.588164,0.0343408,0.236754
7,0.568119,0.0331704,0.269925
8,0.532643,0.0310991,0.301024
9,0.464824,0.0271394,0.328163
10,0.549458,0.0320809,0.360244
11,0.0181262,0.00105832,0.361303
12,0.555244,0.0324187,0.393721
13,0.802368,0.0468474,0.440569
14,0.551598,0.0322058,0.472774
15,0.445534,0.0260131,0.498788
16,0.651618,0.0380456,0.536833
17,0.000634726,3.71E-05,0.53687
18,0.773172,0.0451427,0.582013
19,0.741802,0.0433112,0.625324
20,0.529912,0.0309396,0.656264
21,0.786553,0.045924,0.702188
22,0.742561,0.0433554,0.745543
23,0.445018,0.025983,0.771526
24,0.612981,0.0357897,0.807316
25,0.863589,0.0504218,0.857738
26,0.445382,0.0260042,0.883742
27,0.568119,0.0331704,0.916912
28,0.58814,0.0343394,0.951252
29,0.834926,0.0487483,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  5,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.77872,0.0445409,0.0445409
1,0.445018,0.025454,0.0699949
2,0.552314,0.031591,0.101586
3,0.331908,0.0189843,0.12057
4,0.103495,0.00591968,0.12649
5,0.836971,0.0478727,0.174363
6,0.530359,0.0303352,0.204698
7,0.86698,0.0495891,0.254287
8,0.568119,0.032495,0.286782
9,0.588164,0.0336415,0.320423
10,0.000670287,3.83E-05,0.320462
11,0.9401,0.0537714,0.374233
12,0.802306,0.0458899,0.420123
13,0.863572,0.0493942,0.469517
14,0.741802,0.0424293,0.511947
15,0.58814,0.0336402,0.545587
16,0.77299,0.0442132,0.5898
17,0.740601,0.0423605,0.632161
18,0.598135,0.0342119,0.666372
19,0.833176,0.0476556,0.714028
20,0.532643,0.0304659,0.744494
21,0.551598,0.0315501,0.776044
22,0.27965,0.0159953,0.792039
23,0.445018,0.025454,0.817493
24,0.818597,0.0468217,0.864315
25,0.0255764,0.00146291,0.865778
26,0.8974,0.0513291,0.917107
27,0.448468,0.0256513,0.942758
28,0.445562,0.025485,0.968243
29,0.55521,0.0317567,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  6,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.445064,0.0228981,0.0228981
1,0.55521,0.0285649,0.051463
2,0.773021,0.039771,0.091234
3,0.53044,0.0272905,0.118525
4,0.77872,0.0400643,0.158589
5,0.930903,0.0478939,0.206483
6,0.92785,0.0477368,0.25422
7,0.451345,0.0232212,0.277441
8,0.692584,0.0356327,0.313073
9,0.55521,0.0285649,0.341638
10,0.740601,0.0381031,0.379741
11,0.197561,0.0101643,0.389906
12,0.897365,0.0461684,0.436074
13,0.000530677,2.73E-05,0.436101
14,0.738965,0.0380189,0.47412
15,0.958859,0.0493322,0.523453
16,0.836971,0.0430612,0.566514
17,0.530359,0.0272864,0.5938
18,0.268131,0.013795,0.607595
19,0.833265,0.0428706,0.650466
20,0.552314,0.0284159,0.678882
21,0.865714,0.04454,0.723422
22,0.893092,0.0459486,0.76937
23,0.02426,0.00124815,0.770618
24,0.552314,0.0284159,0.799034
25,0.836289,0.0430261,0.84206
26,0.602938,0.0310205,0.873081
27,0.813403,0.0418487,0.91493
28,0.86672,0.0445918,0.959521
29,0.786776,0.0404787,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  7,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.740601,0.0352227,0.0352227
1,0.836289,0.0397735,0.0749962
2,0.541582,0.0257574,0.100754
3,0.836971,0.039806,0.14056
4,0.92785,0.0441281,0.184688
5,0.55521,0.0264056,0.211093
6,0.0396312,0.00188485,0.212978
7,0.742357,0.0353062,0.248284
8,0.836346,0.0397763,0.288061
9,0.444995,0.0211638,0.309224
10,0.931046,0.0442802,0.353505
11,0.86672,0.0412208,0.394725
12,0.833265,0.0396297,0.434355
13,0.958859,0.0456029,0.479958
14,0.742349,0.0353058,0.515264
15,0.834601,0.0396933,0.554957
16,0.834213,0.0396748,0.594632
17,0.552314,0.0262678,0.6209
18,0.832828,0.039609,0.660509
19,0.000179988,8.56E-06,0.660517
20,0.730668,0.0347503,0.695268
21,0.940217,0.0447163,0.739984
22,0.451382,0.0214675,0.761451
23,0.738965,0.0351449,0.796596
24,0.862553,0.0410227,0.837619
25,0.891792,0.0424133,0.880032
26,0.836289,0.0397735,0.919806
27,0.86672,0.0412208,0.961027
28,0.0464419,0.00220876,0.963235
29,0.773021,0.0367645,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  8,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.765362,0.0357677,0.0357677
1,0.558024,0.0260782,0.0618459
2,0.836289,0.0390823,0.100928
3,0.7385,0.0345124,0.135441
4,0.954167,0.0445912,0.180032
5,0.451382,0.0210945,0.201126
6,0.773021,0.0361256,0.237252
7,0.834828,0.0390141,0.276266
8,0.0483417,0.00225915,0.278525
9,0.833047,0.0389308,0.317456
10,0.015479,0.000723381,0.318179
11,0.768329,0.0359063,0.354086
12,0.133901,0.00625759,0.360343
13,0.00052824,2.47E-05,0.360368
14,0.733203,0.0342648,0.394633
15,0.942394,0.0440409,0.438674
16,0.742473,0.0346981,0.473372
17,0.891724,0.041673,0.515045
18,0.862437,0.0403043,0.555349
19,0.866837,0.04051,0.595859
20,0.80431,0.0375879,0.633447
21,0.903422,0.0422197,0.675667
22,0.835055,0.0390247,0.714691
23,0.957904,0.0447658,0.759457
24,0.741409,0.0346483,0.794105
25,0.836362,0.0390858,0.833191
26,0.940217,0.0439392,0.87713
27,0.86672,0.0405045,0.917635
28,0.834512,0.0389993,0.956634
29,0.927948,0.0433658,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  9,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.92752,0.0432379,0.0432379
1,0.765422,0.0356814,0.0789193
2,0.683092,0.0318435,0.110763
3,0.836362,0.0389884,0.149751
4,0.768313,0.0358162,0.185567
5,0.836378,0.0389892,0.224557
6,0.927948,0.0432579,0.267815
7,0.741438,0.0345634,0.302378
8,0.86672,0.0404036,0.342782
9,0.862437,0.0402039,0.382985
10,0.765482,0.0356842,0.41867
11,0.558024,0.0260132,0.444683
12,0.742473,0.0346116,0.479295
13,0.484242,0.0225738,0.501868
14,0.768088,0.0358057,0.537674
15,0.866837,0.0404091,0.578083
16,0.835193,0.0389339,0.617017
17,0.55768,0.0259972,0.643014
18,0.552314,0.025747,0.668761
19,0.76531,0.0356762,0.704438
20,0.0331534,0.0015455,0.705983
21,0.942394,0.0439313,0.749914
22,0.769277,0.0358611,0.785775
23,0.80431,0.0374943,0.82327
24,0.953582,0.0444529,0.867723
25,0.909498,0.0423978,0.91012
26,0.213223,0.00993974,0.92006
27,0.0462064,0.00215399,0.922214
28,0.86672,0.0404036,0.962618
29,0.801907,0.0373822,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  0,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,1.27E-05,6.77E-06,6.77E-06
1,0.585413,0.312502,0.312508
2,6.10E-09,3.26E-09,0.312508
3,9.21E-05,4.91E-05,0.312558
4,0.0136575,0.00729056,0.319848
5,6.89E-14,3.68E-14,0.319848
6,3.98E-12,2.12E-12,0.319848
7,0.139598,0.0745194,0.394368
8,0.00195295,0.00104251,0.39541
9,5.46E-11,2.92E-11,0.39541
10,4.28E-05,2.28E-05,0.395433
11,0.00451962,0.00241264,0.397846
12,4.31E-13,2.30E-13,0.397846
13,0.388148,0.207199,0.605044
14,0.00113189,0.000604216,0.605648
15,2.08E-07,1.11E-07,0.605649
16,5.49E-15,2.93E-15,0.605649
17,2.20E-11,1.17E-11,0.605649
18,0.000235151,0.000125527,0.605774
19,0.000163511,8.73E-05,0.605861
20,2.77E-12,1.48E-12,0.605861
21,6.52E-07,3.48E-07,0.605862
22,3.77E-11,2.01E-11,0.605862
23,0.00258156,0.00137807,0.60724
24,0.000190093,0.000101474,0.607341
25,5.21E-13,2.78E-13,0.607341
26,0.149375,0.0797382,0.68708
27,0.00334171,0.00178385,0.688863
28,8.46E-10,4.51E-10,0.688863
29,0.582856,0.311137,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  1,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.58295,0.0438286,0.0438286
1,0.585413,0.0440138,0.0878424
2,0.416775,0.0313348,0.119177
3,0.544102,0.0409079,0.160085
4,0.388148,0.0291826,0.189268
5,0.586168,0.0440705,0.233338
6,0.388148,0.0291826,0.262521
7,0.14161,0.0106468,0.273168
8,0.585413,0.0440138,0.317181
9,0.00395473,0.000297333,0.317479
10,0.582968,0.0438299,0.361309
11,0.585302,0.0440054,0.405314
12,0.582968,0.0438299,0.449144
13,0.585296,0.0440049,0.493149
14,0.585413,0.0440138,0.537163
15,0.582856,0.0438216,0.580984
16,0.58288,0.0438233,0.624808
17,0.0156121,0.00117378,0.625981
18,0.582856,0.0438216,0.669803
19,0.388148,0.0291826,0.698986
20,0.585413,0.0440138,0.742999
21,0.582856,0.0438216,0.786821
22,0.585413,0.0440138,0.830835
23,0.0272347,0.00204762,0.832882
24,0.570952,0.0429265,0.875809
25,0.0889367,0.00668663,0.882495
26,0.584948,0.0439788,0.926474
27,0.388405,0.0292019,0.955676
28,0.00407088,0.000306065,0.955982
29,0.585467,0.0440178,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  2,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.38847,0.0244604,0.0244604
1,0.584948,0.0368319,0.0612923
2,0.58295,0.0367061,0.0979984
3,0.571061,0.0359575,0.133956
4,0.584948,0.0368319,0.170788
5,0.585302,0.0368541,0.207642
6,0.389713,0.0245387,0.232181
7,0.14161,0.00891661,0.241097
8,0.584948,0.0368319,0.277929
9,0.582968,0.0367072,0.314636
10,0.416775,0.0262427,0.340879
11,0.54445,0.0342819,0.375161
12,0.585296,0.0368538,0.412015
13,0.582856,0.0367002,0.448715
14,0.409492,0.0257841,0.474499
15,0.582903,0.0367031,0.511202
16,0.582856,0.0367002,0.547902
17,0.585413,0.0368612,0.584763
18,0.58509,0.0368408,0.621604
19,0.582968,0.0367072,0.658311
20,0.58466,0.0368137,0.695125
21,0.59041,0.0371758,0.732301
22,0.583156,0.036719,0.76902
23,0.817554,0.0514782,0.820498
24,0.388926,0.0244891,0.844987
25,0.585413,0.0368612,0.881848
26,0.389191,0.0245058,0.906354
27,0.294568,0.0185478,0.924902
28,0.58288,0.0367016,0.961604
29,0.609796,0.0383964,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  3,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.591312,0.0376643,0.0376643
1,0.0424478,0.00270376,0.0403681
2,0.576877,0.0367448,0.0771128
3,0.142031,0.0090468,0.0861596
4,0.582856,0.0371257,0.123285
5,0.585296,0.0372811,0.160566
6,0.571021,0.0363718,0.196938
7,0.584925,0.0372574,0.234196
8,0.755761,0.048139,0.282335
9,0.571061,0.0363744,0.318709
10,0.817554,0.052075,0.370784
11,0.389713,0.0248232,0.395607
12,0.54445,0.0346793,0.430287
13,0.000324108,2.06E-05,0.430307
14,0.593456,0.0378008,0.468108
15,0.58509,0.0372679,0.505376
16,0.585037,0.0372646,0.54264
17,0.695186,0.0442806,0.586921
18,0.583156,0.0371447,0.624066
19,0.0248236,0.00158116,0.625647
20,0.582692,0.0371152,0.662762
21,0.385224,0.0245373,0.687299
22,0.585296,0.0372811,0.724581
23,0.58466,0.0372406,0.761821
24,0.817554,0.052075,0.813896
25,0.582856,0.0371257,0.851022
26,0.582851,0.0371253,0.888147
27,0.585302,0.0372814,0.925429
28,0.585413,0.0372886,0.962717
29,0.585325,0.0372829,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  4,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.817554,0.0555378,0.0555378
1,0.389697,0.0264728,0.0820106
2,0.817554,0.0555378,0.137548
3,0.422994,0.0287347,0.166283
4,0.585254,0.0397573,0.20604
5,0.591146,0.0401575,0.246198
6,0.755761,0.0513401,0.297538
7,0.28819,0.0195772,0.317115
8,0.0273665,0.00185905,0.318974
9,0.607167,0.0412459,0.36022
10,0.540841,0.0367402,0.396961
11,0.416775,0.0283122,0.425273
12,0.698714,0.0474648,0.472738
13,0.689268,0.0468232,0.519561
14,0.695206,0.0472265,0.566787
15,0.58295,0.0396008,0.606388
16,1.22E-05,8.27E-07,0.606389
17,0.582851,0.039594,0.645983
18,0.142031,0.00964839,0.655631
19,0.817554,0.0555378,0.711169
20,0.582106,0.0395434,0.750713
21,0.295888,0.0201002,0.770813
22,0.000643437,4.37E-05,0.770856
23,0.755768,0.0513406,0.822197
24,0.58436,0.0396966,0.861894
25,0.148569,0.0100925,0.871986
26,0.582851,0.039594,0.91158
27,0.582692,0.0395833,0.951163
28,0.576877,0.0391882,0.990352
29,0.142031,0.00964839,1
,,,
,,,
l:  20,,,
N:  30,,,
G:  10,,,
P_m:  0.033,,,
P_c:  0.6,,,
#Exp:  1,  #Gen:  5,,
Individual, Fitness Value, Normalized Fitness, Running Total
0,0.584354,0.0350838,0.0350838
1,0.689268,0.0413827,0.0764665
2,0.296108,0.0177779,0.0942444
3,0.631725,0.0379279,0.132172
4,0.590885,0.0354759,0.167648
5,0.418548,0.025129,0.192777
6,0.698845,0.0419577,0.234735
7,0.540737,0.0324651,0.2672
8,0.28819,0.0173025,0.284502
9,0.689268,0.0413827,0.325885
10,0.324345,0.0194732,0.345358
11,0.142189,0.00853682,0.353895
12,0.956364,0.0574187,0.411314
13,0.540841,0.0324713,0.443785
14,0.584354,0.0350838,0.478869
15,0.582856,0.0349939,0.513863
16,0.591265,0.0354987,0.549362
17,0.806437,0.0484174,0.597779
18,0.817554,0.0490848,0.646864
19,0.0430102,0.00258227,0.649446
20,0.817554,0.0490848,0.698531
21,0.755761,0.0453748,0.743906
22,0.695186,0.041738,0.785644
23,0.582123,0.0349499,0.820594
24,0.588738,0.035347,0.855941
25,0.000320817,1.93E-05,0.85596
26,0.817554,0.0490848,0.905045
