Exp_0,R1=1,R2=2,J1=1,J2=-0.1,h=0
Distance,rho_l,H_l,I_l,,
0,0.997532099,0.998219026,0.998219026,,
1,0.778023457,0.602234257,1.394203795,,
2,0.598365432,1.519017222,0.477420831,,
3,0.433764198,1.138956705,0.857481347,,
4,0.304059877,1.581266174,0.415171878,,
5,0.210134568,1.359991022,0.636447031,,
6,0.142346914,1.553572691,0.442865361,,
7,0.093499647,1.443707958,0.552730094,,
8,0.058866975,1.522088207,0.474349846,,
9,0.043517284,1.482599353,0.513838699,,
10,0.029492593,1.500725545,0.495712508,,
11,0.032547811,1.498052891,0.498385161,,
12,0.040856173,1.492713908,0.503724144,,
13,0.052915195,1.49913573,0.497302322,,
14,0.064645855,1.489107129,0.507330923,,
Exp_1,R1=1,R2=5,J1=1,J2=-0.1,h=-4
Distance,rho_l,H_l,I_l,,
0,0.188993827,0.285193305,0.285193305,,
1,0.009895062,0.46718458,0.10320203,,
2,0.009895062,0.46718458,0.10320203,,
3,0.009895062,0.46718458,0.10320203,,
4,0.009895062,0.46718458,0.10320203,,
5,0.00932716,0.479119307,0.091267303,,
6,0.003716049,0.477456335,0.092930275,,
7,0.001758201,0.475865744,0.094520866,,
8,0.000746296,0.475646518,0.094740092,,
9,0.002302469,0.474599989,0.095786621,,
10,0.000993827,0.475971,0.09441561,,
11,0.001640067,0.476004166,0.094382444,,
12,0.001006173,0.476091786,0.094294825,,
13,0.00101339,0.475834788,0.094551822,,
14,0.00048836,0.475657229,0.094729381,,
Exp_2,R1=1,R2=5,J1=1,J2=-0.1,h=-2
Distance,rho_l,H_l,I_l,,
0,0.865892593,0.900969168,0.900969168,,
1,0.23367037,1.43481507,0.367123266,,
2,0.049662963,1.341615045,0.46032329,,
3,0.214477778,1.213573505,0.588364831,,
4,0.21257963,1.215358214,0.586580122,,
5,0.049559259,1.391383141,0.410555195,,
6,0.217096296,1.432595319,0.369343017,,
7,0.135971958,1.419532934,0.382405402,,
8,0.023947531,1.358091138,0.443847198,,
9,0.14287284,1.276656512,0.525281824,,
